"Game Code","Drive Number","Team Code","Start Period","Start Clock","Start Spot","Start Reason","End Period","End Clock","End Spot","End Reason","Plays","Yards","Time Of Possession","Red Zone Attempt"
0587009620130829,6,96,1,221,88,"PUNT",2,892,11,"INTERCEPTION",12,77,229,1
0587009620130829,7,587,2,892,80,"INTERCEPTION",2,870,0,"TOUCHDOWN",2,80,22,0
0587009620130829,8,96,2,870,75,"KICKOFF",2,746,80,"PUNT",3,-5,124,0
0587009620130829,9,587,2,746,58,"PUNT",2,500,11,"FIELD GOAL",8,47,246,1
0587009620130829,10,96,2,495,77,"KICKOFF",2,419,69,"PUNT",4,8,76,0
0587009620130829,11,96,2,419,41,"FUMBLE",2,257,0,"TOUCHDOWN",10,41,162,1
0587009620130829,12,587,2,257,72,"KICKOFF",2,104,55,"PUNT",5,17,153,0
0587009620130829,13,96,2,104,80,"PUNT",2,1,0,"TOUCHDOWN",12,80,103,1
0587009620130829,14,587,3,900,70,"KICKOFF",3,815,64,"PUNT",3,6,85,0
0587009620130829,15,96,3,815,67,"PUNT",3,711,63,"PUNT",3,4,104,0
0587009620130829,16,587,3,711,72,"PUNT",3,588,1,"FIELD GOAL",6,71,123,1
0587009620130829,17,96,3,588,75,"KICKOFF",3,463,0,"TOUCHDOWN",10,75,125,1
0587009620130829,18,587,3,463,69,"KICKOFF",3,213,50,"PUNT",7,19,250,0
0587009620130829,19,96,3,213,81,"PUNT",3,152,75,"PUNT",3,6,61,0
0587009620130829,20,587,3,152,71,"PUNT",3,40,0,"TOUCHDOWN",6,71,112,1
0587009620130829,21,96,3,34,78,"KICKOFF",4,800,48,"PUNT",7,30,134,0
0587009620130829,22,587,4,800,82,"PUNT",4,699,75,"PUNT",3,7,101,0
0587009620130829,23,96,4,699,40,"PUNT",4,668,0,"TOUCHDOWN",3,40,31,1
0587009620130829,24,587,4,668,77,"KICKOFF",4,534,86,"PUNT",3,-9,134,0
0587009620130829,25,96,4,534,49,"PUNT",4,485,43,"FUMBLE",4,6,49,0
0587009620130829,26,587,4,485,57,"FUMBLE",4,477,57,"INTERCEPTION",1,0,8,0
0587009620130829,27,96,4,477,65,"INTERCEPTION",4,471,67,"FUMBLE",1,-2,6,0
0587009620130829,28,587,4,471,33,"FUMBLE",4,332,0,"TOUCHDOWN",6,33,139,1
0587009620130829,29,96,4,325,78,"KICKOFF",4,228,30,"FIELD GOAL",8,48,97,0
0587009620130829,30,587,4,222,65,"KICKOFF",4,78,0,"TOUCHDOWN",6,65,144,0
0587009620130829,31,96,4,68,40,"KICKOFF",4,38,0,"TOUCHDOWN",5,40,30,1
0587009620130829,32,587,4,38,75,"KICKOFF",4,0,26,"MISSED FIELD GOAL",5,49,38,0
0587009620130829,33,96,5,,25,"POSSESSION",5,,0,"TOUCHDOWN",1,25,,0
0587009620130829,34,587,5,,25,"POSSESSION",5,,0,"TOUCHDOWN",3,25,,1
0005012820130829,1,128,1,900,83,"KICKOFF",1,842,0,"TOUCHDOWN",2,83,58,0
0005012820130829,2,5,1,838,80,"KICKOFF",1,522,41,"PUNT",11,39,316,0
0005012820130829,3,128,1,522,91,"PUNT",1,143,0,"TOUCHDOWN",12,91,379,1
0005012820130829,4,5,1,130,85,"KICKOFF",2,893,76,"PUNT",3,9,137,0
0005012820130829,5,128,2,893,68,"PUNT",2,835,74,"PUNT",3,-6,58,0
0005012820130829,6,128,2,835,39,"FUMBLE",2,736,37,"PUNT",3,2,99,0
0005012820130829,7,5,2,736,80,"PUNT",2,681,78,"PUNT",3,2,55,0
0005012820130829,8,128,2,681,75,"PUNT",2,414,0,"TOUCHDOWN",8,75,267,0
0005012820130829,9,5,2,414,75,"KICKOFF",2,300,70,"PUNT",3,5,114,0
0005012820130829,10,128,2,300,95,"PUNT",2,58,15,"FIELD GOAL",12,80,242,1
0005012820130829,11,5,2,58,75,"KICKOFF",2,0,56,"END OF HALF",3,19,58,0
0005012820130829,12,5,3,894,75,"KICKOFF",3,818,64,"PUNT",4,11,76,0
0005012820130829,13,128,3,818,77,"PUNT",3,578,0,"TOUCHDOWN",8,77,240,1
0005012820130829,14,5,3,572,85,"KICKOFF",3,361,42,"INTERCEPTION",9,43,211,0
0005012820130829,15,128,3,361,48,"INTERCEPTION",3,143,0,"TOUCHDOWN",7,48,218,1
0005012820130829,16,5,3,143,75,"KICKOFF",4,887,67,"PUNT",6,8,156,0
0005012820130829,17,128,4,887,63,"PUNT",4,700,46,"PUNT",6,17,187,0
0005012820130829,18,5,4,700,96,"PUNT",4,417,68,"PUNT",8,28,283,0
0005012820130829,19,128,4,417,82,"PUNT",4,248,58,"PUNT",5,24,169,0
0005012820130829,20,5,4,248,77,"PUNT",4,42,0,"TOUCHDOWN",10,77,206,1
0005012820130829,21,128,4,35,65,"KICKOFF",4,0,65,"END OF HALF",1,0,35,0
0711016420130829,1,164,1,900,75,"KICKOFF",1,822,66,"PUNT",3,9,78,0
0711016420130829,2,711,1,822,74,"PUNT",1,536,36,"INTERCEPTION",8,38,286,0
0711016420130829,3,164,1,536,92,"INTERCEPTION",1,295,0,"TOUCHDOWN",10,92,241,0
0711016420130829,4,711,1,295,66,"KICKOFF",1,171,0,"TOUCHDOWN",4,66,124,0
0711016420130829,5,164,1,171,84,"KICKOFF",1,59,79,"PUNT",3,5,112,0
0711016420130829,6,711,1,59,63,"PUNT",2,807,48,"PUNT",5,15,152,0
0711016420130829,7,164,2,807,84,"PUNT",2,688,75,"PUNT",3,9,119,0
0711016420130829,8,711,2,688,58,"PUNT",2,468,37,"DOWNS",7,21,220,0
0711016420130829,9,164,2,468,63,"DOWNS",2,460,63,"INTERCEPTION",1,0,8,0
0711016420130829,10,711,2,460,29,"INTERCEPTION",2,424,0,"TOUCHDOWN",2,29,36,1
0711016420130829,11,164,2,424,76,"KICKOFF",2,108,5,"FIELD GOAL",11,71,316,1
0711016420130829,12,711,2,108,76,"KICKOFF",2,11,74,"PUNT",3,2,97,0
0711016420130829,13,164,2,11,39,"PUNT",2,0,44,"END OF HALF",2,-5,11,0
0711016420130829,14,711,3,900,75,"KICKOFF",3,813,70,"PUNT",3,5,87,0
0711016420130829,15,164,3,813,63,"PUNT",3,764,59,"PUNT",3,4,49,0
0711016420130829,16,711,3,764,95,"PUNT",3,309,0,"TOUCHDOWN",14,95,455,1
0711016420130829,17,164,3,309,76,"KICKOFF",3,163,75,"PUNT",4,1,146,0
0711016420130829,18,711,3,163,70,"PUNT",3,55,62,"PUNT",3,8,108,0
0711016420130829,19,164,3,55,75,"PUNT",4,818,33,"DOWNS",7,42,137,0
0711016420130829,20,711,4,818,67,"DOWNS",4,755,67,"PUNT",3,0,63,0
0711016420130829,21,164,4,755,68,"PUNT",4,676,65,"PUNT",3,3,79,0
0711016420130829,22,711,4,676,68,"PUNT",4,314,0,"TOUCHDOWN",10,68,362,1
0711016420130829,23,164,4,314,68,"KICKOFF",4,209,0,"TOUCHDOWN",7,68,105,0
0711016420130829,24,711,4,209,80,"KICKOFF",4,176,73,"PUNT",3,7,33,0
0711016420130829,25,711,4,176,30,"FUMBLE",4,16,0,"TOUCHDOWN",6,30,160,1
0711016420130829,26,164,4,16,69,"KICKOFF",4,0,62,"END OF HALF",1,7,16,0
0657027720130829,1,277,1,900,83,"KICKOFF",1,796,93,"PUNT",3,-10,104,0
0657027720130829,2,657,1,796,52,"PUNT",1,584,26,"DOWNS",7,26,212,0
0657027720130829,3,277,1,584,74,"DOWNS",1,578,74,"INTERCEPTION",1,0,6,0
0657027720130829,4,657,1,578,38,"INTERCEPTION",1,425,3,"FIELD GOAL",8,35,153,1
0657027720130829,5,277,1,420,80,"KICKOFF",1,181,53,"PUNT",8,27,239,0
0657027720130829,6,657,1,181,89,"PUNT",1,39,69,"PUNT",5,20,142,0
0657027720130829,7,277,1,39,65,"PUNT",2,851,38,"PUNT",4,27,88,0
0657027720130829,8,657,2,851,99,"PUNT",2,846,100,"SAFETY",1,-1,5,0
0657027720130829,9,277,2,838,41,"KICKOFF",2,703,24,"FIELD GOAL",8,17,135,0
0657027720130829,10,657,2,697,78,"KICKOFF",2,638,71,"PUNT",3,7,59,0
0657027720130829,11,277,2,638,64,"PUNT",2,556,62,"PUNT",3,2,82,0
0657027720130829,12,657,2,556,65,"PUNT",2,406,30,"INTERCEPTION",5,35,150,0
0657027720130829,13,277,2,406,75,"INTERCEPTION",2,364,77,"INTERCEPTION",3,-2,42,0
0657027720130829,14,657,2,364,30,"INTERCEPTION",2,258,0,"TOUCHDOWN",5,30,106,1
0657027720130829,15,277,2,254,83,"KICKOFF",2,169,69,"INTERCEPTION",6,14,85,0
0657027720130829,16,277,2,164,77,"KICKOFF",2,72,75,"PUNT",3,2,92,0
0657027720130829,17,277,2,72,33,"FUMBLE",2,22,40,"DOWNS",4,-7,50,0
0657027720130829,18,657,2,22,60,"DOWNS",2,0,35,"FIELD GOAL",4,25,22,0
0657027720130829,19,657,3,900,65,"KICKOFF",3,842,65,"PUNT",3,0,58,0
0657027720130829,20,277,3,842,99,"PUNT",3,741,93,"PUNT",3,6,101,0
0657027720130829,21,657,3,741,44,"PUNT",3,637,48,"PUNT",3,-4,104,0
0657027720130829,22,277,3,637,88,"PUNT",3,531,61,"PUNT",5,27,106,0
0657027720130829,23,657,3,531,68,"PUNT",3,393,61,"PUNT",3,7,138,0
0657027720130829,24,277,3,393,83,"PUNT",3,196,25,"INTERCEPTION",9,58,197,0
0657027720130829,25,657,3,196,90,"INTERCEPTION",4,790,5,"FIELD GOAL",13,85,306,1
0657027720130829,26,277,4,785,84,"KICKOFF",4,712,56,"PUNT",6,28,73,0
0657027720130829,27,657,4,712,85,"PUNT",4,480,52,"PUNT",8,33,232,0
0657027720130829,28,277,4,480,83,"PUNT",4,327,56,"PUNT",8,27,153,0
0657027720130829,29,657,4,327,80,"PUNT",4,42,0,"TOUCHDOWN",10,80,285,1
0657027720130829,30,277,4,42,60,"KICKOFF",4,30,0,"TOUCHDOWN",2,60,12,0
0657027720130829,31,657,4,30,43,"KICKOFF",4,0,39,"END OF HALF",1,4,30,0
0305030620130829,1,305,1,900,75,"KICKOFF",1,813,82,"DOWNS",4,-7,87,0
0305030620130829,2,306,1,813,18,"DOWNS",1,752,0,"TOUCHDOWN",3,18,61,1
0305030620130829,3,305,1,752,75,"KICKOFF",1,507,0,"TOUCHDOWN",10,75,245,1
0305030620130829,4,306,1,507,72,"KICKOFF",1,370,34,"DOWNS",7,38,137,0
0305030620130829,5,305,1,370,66,"DOWNS",1,275,71,"PUNT",3,-5,95,0
0305030620130829,6,306,1,275,64,"PUNT",1,224,0,"TOUCHDOWN",4,64,51,0
0305030620130829,7,305,1,224,75,"KICKOFF",1,217,59,"FUMBLE",2,16,7,0
0305030620130829,8,306,1,217,41,"FUMBLE",1,166,0,"TOUCHDOWN",4,41,51,0
0305030620130829,9,305,1,166,91,"KICKOFF",1,54,79,"INTERCEPTION",4,12,112,0
0305030620130829,10,306,1,54,15,"INTERCEPTION",2,887,0,"TOUCHDOWN",3,15,67,1
0305030620130829,11,305,2,887,76,"KICKOFF",2,795,80,"PUNT",3,-4,92,0
0305030620130829,12,305,2,795,75,"KICKOFF",2,667,56,"DOWNS",6,19,128,0
0305030620130829,13,306,2,667,44,"DOWNS",2,660,0,"TOUCHDOWN",1,44,7,0
0305030620130829,14,305,2,660,75,"KICKOFF",2,605,69,"PUNT",3,6,55,0
0305030620130829,15,306,2,605,59,"PUNT",2,430,40,"PUNT",6,19,175,0
0305030620130829,16,305,2,430,99,"PUNT",2,383,98,"PUNT",3,1,47,0
0305030620130829,17,306,2,383,43,"PUNT",2,300,9,"FIELD GOAL",7,34,83,1
0305030620130829,18,305,2,300,75,"KICKOFF",2,190,67,"PUNT",3,8,110,0
0305030620130829,19,306,2,190,68,"PUNT",2,91,57,"PUNT",6,11,99,0
0305030620130829,20,305,2,91,78,"PUNT",2,19,0,"TOUCHDOWN",7,78,72,1
0305030620130829,21,306,2,8,69,"KICKOFF",2,0,71,"END OF HALF",1,-2,8,0
0305030620130829,22,306,3,900,80,"KICKOFF",3,857,75,"INTERCEPTION",3,5,43,0
0305030620130829,23,306,3,857,75,"KICKOFF",3,708,0,"TOUCHDOWN",7,75,149,1
0305030620130829,24,305,3,708,77,"KICKOFF",3,544,52,"PUNT",8,25,164,0
0305030620130829,25,306,3,544,69,"PUNT",3,487,0,"TOUCHDOWN",3,69,57,0
0305030620130829,26,305,3,487,65,"KICKOFF",3,387,61,"PUNT",3,4,100,0
0305030620130829,27,306,3,387,96,"PUNT",3,313,47,"PUNT",5,49,74,0
0305030620130829,28,305,3,313,89,"PUNT",3,234,85,"PUNT",3,4,79,0
0305030620130829,29,306,3,234,44,"PUNT",3,191,0,"TOUCHDOWN",3,44,43,1
0305030620130829,30,305,3,191,92,"KICKOFF",3,129,90,"PUNT",3,2,62,0
0305030620130829,31,306,3,129,49,"PUNT",3,0,38,"INTERCEPTION",5,11,129,0
0305030620130829,32,305,3,0,86,"INTERCEPTION",4,806,83,"PUNT",3,3,94,0
0305030620130829,33,306,4,806,55,"PUNT",4,618,0,"TOUCHDOWN",7,55,188,1
0305030620130829,34,305,4,618,79,"KICKOFF",4,516,0,"TOUCHDOWN",4,79,102,0
0305030620130829,35,306,4,516,75,"KICKOFF",4,0,18,"END OF HALF",12,57,516,1
0355033120130829,1,331,1,900,75,"KICKOFF",1,416,0,"TOUCHDOWN",14,75,484,1
0355033120130829,2,355,1,411,76,"KICKOFF",1,290,78,"PUNT",3,-2,121,0
0355033120130829,3,331,1,290,58,"PUNT",1,183,55,"PUNT",3,3,107,0
0355033120130829,4,355,1,183,80,"PUNT",1,126,86,"PUNT",3,-6,57,0
0355033120130829,5,331,1,126,55,"PUNT",2,739,44,"PUNT",8,11,287,0
0355033120130829,6,355,2,739,80,"PUNT",2,610,83,"PUNT",3,-3,129,0
0355033120130829,7,331,2,610,65,"PUNT",2,373,59,"FUMBLE",7,6,237,0
0355033120130829,8,355,2,373,41,"FUMBLE",2,175,3,"FIELD GOAL",9,38,198,1
0355033120130829,9,331,2,167,80,"KICKOFF",2,18,59,"PUNT",5,21,149,0
0355033120130829,10,355,2,18,90,"PUNT",2,0,88,"END OF HALF",1,2,18,0
0355033120130829,11,355,3,900,75,"KICKOFF",3,754,59,"PUNT",4,16,146,0
0355033120130829,12,331,3,754,85,"PUNT",3,573,53,"PUNT",6,32,181,0
0355033120130829,13,355,3,573,88,"PUNT",3,445,0,"TOUCHDOWN",6,88,128,1
0355033120130829,14,331,3,445,75,"KICKOFF",3,231,39,"DOWNS",9,36,214,0
0355033120130829,15,355,3,231,61,"DOWNS",3,117,44,"PUNT",4,17,114,0
0355033120130829,16,331,3,117,96,"PUNT",4,657,22,"FIELD GOAL",14,74,360,0
0355033120130829,17,355,4,657,75,"KICKOFF",4,481,45,"PUNT",4,30,176,0
0355033120130829,18,331,4,481,88,"PUNT",4,268,0,"TOUCHDOWN",9,88,213,0
0355033120130829,19,355,4,262,86,"KICKOFF",4,90,40,"DOWNS",9,46,172,0
0355033120130829,20,331,4,90,60,"DOWNS",4,0,70,"DOWNS",4,-10,90,0
0769041920130829,1,419,1,900,65,"KICKOFF",1,891,0,"TOUCHDOWN",1,65,9,0
0769041920130829,2,769,1,891,79,"KICKOFF",1,813,76,"PUNT",3,3,78,0
0769041920130829,3,419,1,813,40,"PUNT",1,568,24,"MISSED FIELD GOAL",9,16,245,1
0769041920130829,4,769,1,568,76,"MISSED FIELD GOAL",1,464,33,"DOWNS",6,43,104,0
0769041920130829,5,419,1,464,67,"DOWNS",1,293,0,"TOUCHDOWN",9,67,171,1
0769041920130829,6,769,1,293,82,"KICKOFF",1,276,82,"INTERCEPTION",2,0,17,0
0769041920130829,7,419,1,276,20,"INTERCEPTION",1,169,17,"DOWNS",4,3,107,1
0769041920130829,8,769,1,169,83,"DOWNS",1,65,84,"PUNT",3,-1,104,0
0769041920130829,9,769,1,65,80,"KICKOFF",2,843,55,"PUNT",5,25,122,0
0769041920130829,10,419,2,843,89,"PUNT",2,738,0,"TOUCHDOWN",6,89,105,1
0769041920130829,11,769,2,738,78,"KICKOFF",2,540,56,"PUNT",5,22,198,0
0769041920130829,12,419,2,540,78,"PUNT",2,531,89,"FUMBLE",1,-11,9,0
0769041920130829,13,769,2,531,11,"FUMBLE",2,462,4,"FIELD GOAL",4,7,69,1
0769041920130829,14,419,2,462,66,"KICKOFF",2,368,61,"PUNT",3,5,94,0
0769041920130829,15,769,2,368,89,"PUNT",2,251,96,"PUNT",3,-7,117,0
0769041920130829,16,419,2,251,36,"PUNT",2,168,13,"FIELD GOAL",5,23,83,1
0769041920130829,17,769,2,168,75,"KICKOFF",2,108,0,"TOUCHDOWN",4,75,60,0
0769041920130829,18,769,2,108,35,"FUMBLE",2,97,0,"TOUCHDOWN",1,35,11,0
0769041920130829,19,419,2,97,69,"KICKOFF",2,30,63,"PUNT",3,6,67,0
0769041920130829,20,769,2,30,90,"PUNT",2,0,86,"END OF HALF",1,4,30,0
0769041920130829,21,769,3,900,80,"KICKOFF",3,718,55,"PUNT",6,25,182,0
0769041920130829,22,419,3,718,85,"PUNT",3,570,58,"PUNT",4,27,148,0
0769041920130829,23,769,3,570,87,"PUNT",3,518,84,"PUNT",3,3,52,0
0769041920130829,24,419,3,518,73,"PUNT",3,234,0,"TOUCHDOWN",14,73,284,1
0769041920130829,25,769,3,234,75,"KICKOFF",3,107,14,"INTERCEPTION",7,61,127,1
0769041920130829,26,419,3,107,80,"INTERCEPTION",4,841,62,"PUNT",6,18,166,0
0769041920130829,27,769,4,841,93,"PUNT",4,697,74,"PUNT",5,19,144,0
0769041920130829,28,419,4,697,71,"PUNT",4,522,0,"TOUCHDOWN",7,71,175,0
0769041920130829,29,769,4,522,77,"KICKOFF",4,257,0,"TOUCHDOWN",14,77,265,1
0769041920130829,30,419,4,257,70,"KICKOFF",4,0,47,"END OF HALF",7,23,257,0
0465042820130829,1,465,1,900,75,"KICKOFF",1,588,0,"TOUCHDOWN",13,75,312,0
0465042820130829,2,428,1,588,68,"KICKOFF",1,479,57,"INTERCEPTION",4,11,109,0
0465042820130829,3,465,1,479,85,"INTERCEPTION",1,410,81,"PUNT",3,4,69,0
0465042820130829,4,428,1,410,40,"PUNT",1,159,8,"FIELD GOAL",9,32,251,1
0465042820130829,5,465,1,159,75,"KICKOFF",2,856,31,"MISSED FIELD GOAL",10,44,203,0
0465042820130829,6,428,2,856,69,"MISSED FIELD GOAL",2,825,0,"TOUCHDOWN",2,69,31,0
0465042820130829,7,465,2,825,68,"KICKOFF",2,758,66,"PUNT",3,2,67,0
0465042820130829,8,428,2,758,97,"PUNT",2,512,66,"PUNT",9,31,246,0
0465042820130829,9,465,2,512,66,"PUNT",2,304,0,"TOUCHDOWN",11,66,208,0
0465042820130829,10,428,2,304,65,"KICKOFF",2,174,58,"PUNT",3,7,130,0
0465042820130829,11,465,2,174,82,"PUNT",2,105,91,"PUNT",3,-9,69,0
0465042820130829,12,428,2,105,39,"PUNT",2,18,0,"TOUCHDOWN",10,39,87,1
0465042820130829,13,465,2,18,78,"KICKOFF",2,0,79,"END OF HALF",1,-1,18,0
0465042820130829,14,465,3,888,75,"KICKOFF",3,737,52,"PUNT",5,23,151,0
0465042820130829,15,428,3,737,92,"PUNT",3,604,96,"PUNT",3,-4,133,0
0465042820130829,16,465,3,604,42,"PUNT",3,456,20,"MISSED FIELD GOAL",5,22,148,1
0465042820130829,17,465,3,456,80,"KICKOFF",3,232,14,"FIELD GOAL",10,66,224,1
0465042820130829,18,428,3,232,55,"KICKOFF",4,884,33,"MISSED FIELD GOAL",10,22,248,0
0465042820130829,19,465,4,884,67,"MISSED FIELD GOAL",4,641,14,"INTERCEPTION",14,53,243,1
0465042820130829,20,465,4,641,83,"KICKOFF",4,624,83,"INTERCEPTION",2,0,17,0
0465042820130829,21,428,4,624,37,"INTERCEPTION",4,397,0,"TOUCHDOWN",8,37,227,1
0465042820130829,22,465,4,397,75,"KICKOFF",4,252,0,"TOUCHDOWN",6,75,145,1
0465042820130829,23,428,4,252,86,"KICKOFF",4,42,0,"TOUCHDOWN",6,86,210,1
0465042820130829,24,465,4,42,85,"KICKOFF",4,0,86,"END OF HALF",2,-1,42,0
0102063020130829,1,630,1,900,75,"KICKOFF",1,838,73,"PUNT",3,2,62,0
0102063020130829,2,102,1,838,65,"PUNT",1,682,47,"INTERCEPTION",6,18,156,0
0102063020130829,3,630,1,682,32,"INTERCEPTION",1,537,20,"FIELD GOAL",7,12,145,1
0102063020130829,4,102,1,537,79,"KICKOFF",1,413,76,"PUNT",3,3,124,0
0102063020130829,5,630,1,413,74,"PUNT",1,321,78,"PUNT",3,-4,92,0
0102063020130829,6,102,1,321,55,"PUNT",1,206,57,"PUNT",3,-2,115,0
0102063020130829,7,630,1,206,83,"PUNT",1,2,34,"DOWNS",9,49,204,0
0102063020130829,8,102,1,2,66,"DOWNS",2,860,60,"INTERCEPTION",3,6,42,0
0102063020130829,9,630,2,860,83,"INTERCEPTION",2,763,0,"TOUCHDOWN",5,83,97,0
0102063020130829,10,102,2,763,85,"KICKOFF",2,588,73,"PUNT",5,12,175,0
0102063020130829,11,630,2,588,74,"PUNT",2,490,66,"PUNT",3,8,98,0
0102063020130829,12,102,2,490,89,"PUNT",2,120,29,"MISSED FIELD GOAL",13,60,370,0
0102063020130829,13,630,2,120,71,"MISSED FIELD GOAL",2,26,0,"TOUCHDOWN",9,71,94,1
0102063020130829,14,102,2,26,75,"KICKOFF",2,0,75,"END OF HALF",1,0,26,0
0102063020130829,15,102,3,900,75,"KICKOFF",3,574,28,"MISSED FIELD GOAL",15,47,326,0
0102063020130829,16,630,3,574,72,"MISSED FIELD GOAL",3,489,0,"TOUCHDOWN",7,72,85,0
0102063020130829,17,102,3,489,70,"KICKOFF",3,140,2,"DOWNS",13,68,349,1
0102063020130829,18,630,3,140,98,"DOWNS",3,23,90,"PUNT",3,8,117,0
0102063020130829,19,102,3,23,47,"PUNT",4,612,8,"DOWNS",13,39,311,1
0102063020130829,20,630,4,612,92,"DOWNS",4,520,84,"PUNT",3,8,92,0
0102063020130829,21,102,4,520,51,"PUNT",4,472,51,"PUNT",3,0,48,0
0102063020130829,22,630,4,472,97,"PUNT",4,126,44,"PUNT",10,53,346,0
0102063020130829,23,102,4,126,97,"PUNT",4,0,95,"PUNT",3,2,126,0
