"Game Code","Date","Visit Team Code","Home Team Code","Stadium Code","Site"
0043073620130907,09/07/2013,43,736,117,TEAM
0071033120130907,09/07/2013,71,331,100,TEAM
0086005120130907,09/07/2013,86,51,132,TEAM
0090009620130907,09/07/2013,90,96,13,TEAM
0108046620130907,09/07/2013,108,466,90,TEAM
0140030120130907,09/07/2013,140,301,44,TEAM
0156071920130907,09/07/2013,156,719,105,TEAM
0193040420130907,09/07/2013,193,404,115,TEAM
0202036720130907,09/07/2013,202,367,54,TEAM
0204053920130907,09/07/2013,204,539,111,TEAM
0235041520130907,09/07/2013,235,415,30,TEAM
0261049820130907,09/07/2013,261,498,57,TEAM
0277052820130907,09/07/2013,277,528,107,TEAM
0288069020130907,09/07/2013,288,690,109,TEAM
0295081120130907,09/07/2013,295,811,144,TEAM
0305055920130907,09/07/2013,305,559,50,TEAM
0317000520130907,09/07/2013,317,5,154,TEAM
0346036620130907,09/07/2013,346,366,59,TEAM
0380040020130907,09/07/2013,380,400,163,TEAM
0414033420130907,09/07/2013,414,334,53,TEAM
0419045720130907,09/07/2013,419,457,78,TEAM
0428047220130907,09/07/2013,428,472,88,TEAM
0440066320130907,09/07/2013,440,663,122,TEAM
0469012920130907,09/07/2013,469,129,70,TEAM
0473070420130907,09/07/2013,473,704,124,TEAM
0483077420130907,09/07/2013,483,774,69,TEAM
0485058720130907,09/07/2013,485,587,86,TEAM
0497051920130907,09/07/2013,497,519,95,TEAM
0513041820130907,09/07/2013,513,418,66,TEAM
0521070620130907,09/07/2013,521,706,130,TEAM
0523039220130907,09/07/2013,523,392,64,TEAM
0529074620130907,09/07/2013,529,746,137,TEAM
0550010720130907,09/07/2013,550,107,12,TEAM
0553067020130907,09/07/2013,553,670,131,TEAM
0575049020130907,09/07/2013,575,490,82,TEAM
0624069720130907,09/07/2013,624,697,120,TEAM
0625003120130907,09/07/2013,625,31,8,TEAM
0626051820130907,09/07/2013,626,518,99,TEAM
0630067420130907,09/07/2013,630,674,19,TEAM
0632071620130907,09/07/2013,632,716,4,TEAM
0646071820130907,09/07/2013,646,718,58,TEAM
0647014720130907,09/07/2013,647,147,112,TEAM
0648025720130907,09/07/2013,648,257,36,TEAM
0650032820130907,09/07/2013,650,328,51,TEAM
0651041620130907,09/07/2013,651,416,68,TEAM
0654043320130907,09/07/2013,654,433,76,TEAM
0655069820130907,09/07/2013,655,698,125,TEAM
0664046320130907,09/07/2013,664,463,84,TEAM
0669031220130907,09/07/2013,669,312,41,TEAM
0671032720130907,09/07/2013,671,327,52,TEAM
0676070020130907,09/07/2013,676,700,129,TEAM
0688050920130907,09/07/2013,688,509,46,TEAM
0692079620130907,09/07/2013,692,796,141,TEAM
0693025420130907,09/07/2013,693,254,38,TEAM
0695006620130907,09/07/2013,695,66,42,TEAM
0703007720130907,09/07/2013,703,77,134,TEAM
0709043420130907,09/07/2013,709,434,73,TEAM
0725004720130907,09/07/2013,725,47,48,TEAM
0726030620130907,09/07/2013,726,306,47,TEAM
0731072120130907,09/07/2013,731,721,21,TEAM
0754065720130907,09/07/2013,754,657,14,TEAM
0758073220130907,09/07/2013,758,732,135,TEAM
0768052220130907,09/07/2013,768,522,103,TEAM
0769074220130907,09/07/2013,769,742,136,TEAM
0772069420130907,09/07/2013,772,694,114,TEAM
1004015720130907,09/07/2013,1004,157,20,TEAM
1092038820130907,09/07/2013,1092,388,142,TEAM
0698070020130912,09/12/2013,698,700,129,TEAM
0716003020130912,09/12/2013,716,30,7,TEAM
0718036620130912,09/12/2013,718,366,59,TEAM
0721006620130913,09/13/2013,721,66,42,TEAM
0005041820130914,09/14/2013,5,418,66,TEAM
0008069720130914,09/14/2013,8,697,120,TEAM
0047049720130914,09/14/2013,47,497,160,TEAM
0061023120130914,09/14/2013,61,231,31,TEAM
0067065720130914,09/14/2013,67,657,14,TEAM
0071030620130914,09/14/2013,71,306,47,TEAM
0090015620130914,09/14/2013,90,156,23,TEAM
0110046320130914,09/14/2013,110,463,84,TEAM
0128053920130914,09/14/2013,128,539,111,TEAM
0129046520130914,09/14/2013,129,465,89,TEAM
0180072620130914,09/14/2013,180,726,62,TEAM
0204058720130914,09/14/2013,204,587,86,TEAM
0207070920130914,09/14/2013,207,709,102,TEAM
0229065120130914,09/14/2013,229,651,35,TEAM
0236069020130914,09/14/2013,236,690,109,TEAM
0254076820130914,09/14/2013,254,768,143,TEAM
0255019320130914,09/14/2013,255,193,80,TEAM
0312031120130914,09/14/2013,312,311,40,TEAM
0328057420130914,09/14/2013,328,574,127,TEAM
0331036520130914,09/14/2013,331,365,55,TEAM
0346052120130914,09/14/2013,346,521,104,TEAM
0367033420130914,09/14/2013,367,334,53,TEAM
0388051920130914,09/14/2013,388,519,95,TEAM
0392016420130914,09/14/2013,392,164,25,TEAM
0400032720130914,09/14/2013,400,327,52,TEAM
0404041920130914,09/14/2013,404,419,116,TEAM
0430003720130914,09/14/2013,430,37,1,TEAM
0433070320130914,09/14/2013,433,703,119,TEAM
0466023420130914,09/14/2013,466,234,33,TEAM
0473054520130914,09/14/2013,473,545,110,TEAM
0483067120130914,09/14/2013,483,671,56,TEAM
0498074920130914,09/14/2013,498,749,83,TEAM
0502081120130914,09/14/2013,502,811,144,TEAM
0503029520130914,09/14/2013,503,295,43,TEAM
0508014020130914,09/14/2013,508,140,97,TEAM
0513055920130914,09/14/2013,513,559,50,TEAM
0518010720130914,09/14/2013,518,107,12,TEAM
0528073220130914,09/14/2013,528,732,135,TEAM
0664003120130914,09/14/2013,664,31,6,TEAM
0667075420130914,09/14/2013,667,754,138,TEAM
0674072520130914,09/14/2013,674,725,93,TEAM
0683008620130914,09/14/2013,683,86,91,TEAM
0694052920130914,09/14/2013,694,529,108,TEAM
0704047220130914,09/14/2013,704,472,88,TEAM
0706002920130914,09/14/2013,706,29,11,TEAM
0719052220130914,09/14/2013,719,522,103,TEAM
0736064820130914,09/14/2013,736,648,113,TEAM
0742019620130914,09/14/2013,742,196,81,TEAM
0748068820130914,09/14/2013,748,688,92,TEAM
0756030120130914,09/14/2013,756,301,147,NEUTRAL
0758073120130914,09/14/2013,758,731,133,TEAM
0771042820130914,09/14/2013,771,428,153,TEAM
0772064620130914,09/14/2013,772,646,3,TEAM
0774050920130914,09/14/2013,774,509,46,TEAM
0796002820130914,09/14/2013,796,28,10,TEAM
0817041620130914,09/14/2013,817,416,68,TEAM
0147049020130919,09/19/2013,147,490,82,TEAM
0066009620130920,09/20/2013,66,96,13,TEAM
0028067420130921,09/21/2013,28,674,19,TEAM
0030040420130921,09/21/2013,30,404,115,TEAM
0031058720130921,09/21/2013,31,587,86,TEAM
0037036520130921,09/21/2013,37,365,55,TEAM
0043051920130921,09/21/2013,43,519,95,TEAM
0047020420130921,09/21/2013,47,204,71,TEAM
0061023420130921,09/21/2013,61,234,33,TEAM
0140041420130921,09/21/2013,140,414,101,TEAM
0156000820130921,09/21/2013,156,8,5,TEAM
0201050320130921,09/21/2013,201,503,45,TEAM
0228051820130921,09/21/2013,228,518,99,TEAM
0231036720130921,09/21/2013,231,367,54,TEAM
0277046620130921,09/21/2013,277,466,90,TEAM
0288057420130921,09/21/2013,288,574,128,NEUTRAL
0294075620130921,09/21/2013,294,756,140,TEAM
0295075420130921,09/21/2013,295,754,138,TEAM
0315025420130921,09/21/2013,315,254,38,TEAM
0327070320130921,09/21/2013,327,703,119,TEAM
0331053920130921,09/21/2013,331,539,111,TEAM
0366032820130921,09/21/2013,366,328,51,TEAM
0380050920130921,09/21/2013,380,509,46,TEAM
0388074220130921,09/21/2013,388,742,136,TEAM
0416051320130921,09/21/2013,416,513,49,TEAM
0418016420130921,09/21/2013,418,164,25,TEAM
0419022920130921,09/21/2013,419,229,159,TEAM
0434030620130921,09/21/2013,434,306,47,TEAM
0446077220130921,09/21/2013,446,772,148,TEAM
0454007120130921,09/21/2013,454,71,96,TEAM
0457025520130921,09/21/2013,457,255,37,TEAM
0472011020130921,09/21/2013,472,110,15,TEAM
0497025720130921,09/21/2013,497,257,36,TEAM
0498005120130921,09/21/2013,498,51,132,TEAM
0508000920130921,09/21/2013,508,9,2,TEAM
0528062620130921,09/21/2013,528,626,16,TEAM
0545019320130921,09/21/2013,545,193,80,TEAM
0559079620130921,09/21/2013,559,796,141,TEAM
0630042820130921,09/21/2013,630,428,153,TEAM
0632041520130921,09/21/2013,632,415,30,TEAM
0649046320130921,09/21/2013,649,463,84,TEAM
0663069720130921,09/21/2013,663,697,120,TEAM
0670070020130921,09/21/2013,670,700,129,TEAM
0671000520130921,09/21/2013,671,5,154,TEAM
0694023520130921,09/21/2013,694,235,27,TEAM
0706070420130921,09/21/2013,706,704,124,TEAM
0709012920130921,09/21/2013,709,129,70,TEAM
0716043020130921,09/21/2013,716,430,77,TEAM
0718068820130921,09/21/2013,718,688,92,TEAM
0731065720130921,09/21/2013,731,657,14,TEAM
0732007720130921,09/21/2013,732,77,134,TEAM
0736040020130921,09/21/2013,736,400,163,TEAM
0741074620130921,09/21/2013,741,746,137,TEAM
0749072520130921,09/21/2013,749,725,93,TEAM
0768039220130921,09/21/2013,768,392,63,NEUTRAL
0771046520130921,09/21/2013,771,465,89,TEAM
0774031220130921,09/21/2013,774,312,41,TEAM
0811072120130921,09/21/2013,811,721,21,TEAM
0311071920130926,09/26/2013,311,719,105,TEAM
0742025520130926,09/26/2013,742,255,37,TEAM
0419007720130927,09/27/2013,419,77,134,TEAM
0731063020130927,09/27/2013,731,630,18,TEAM
0005007120130928,09/28/2013,5,71,96,TEAM
0009073620130928,09/28/2013,9,736,117,TEAM
0029075620130928,09/28/2013,29,756,140,TEAM
0030043420130928,09/28/2013,30,434,73,TEAM
0096027720130928,09/28/2013,96,277,39,TEAM
0107052920130928,09/28/2013,107,529,108,TEAM
0129049020130928,09/28/2013,129,490,82,TEAM
0157052820130928,09/28/2013,157,528,107,TEAM
0164008620130928,09/28/2013,164,86,91,TEAM
0196045720130928,09/28/2013,196,457,78,TEAM
0229057420130928,09/28/2013,229,574,127,TEAM
0234006720130928,09/28/2013,234,67,61,TEAM
0235033420130928,09/28/2013,235,334,53,TEAM
0288070620130928,09/28/2013,288,706,130,TEAM
0312042820130928,09/28/2013,312,428,153,TEAM
0331077420130928,09/28/2013,331,774,69,TEAM
0365025720130928,09/28/2013,365,257,36,TEAM
0414030120130928,09/28/2013,414,301,44,TEAM
0415065120130928,09/28/2013,415,651,35,TEAM
0433000820130928,09/28/2013,433,8,5,TEAM
0465047320130928,09/28/2013,465,473,87,TEAM
0503055920130928,09/28/2013,503,559,50,TEAM
0521076820130928,09/28/2013,521,768,143,TEAM
0522051320130928,09/28/2013,522,513,49,TEAM
0626047220130928,09/28/2013,626,472,88,TEAM
0646069420130928,09/28/2013,646,694,114,TEAM
0648012820130928,09/28/2013,648,128,146,TEAM
0657002820130928,09/28/2013,657,28,10,TEAM
0663069820130928,09/28/2013,663,698,125,TEAM
0664006620130928,09/28/2013,664,66,42,TEAM
0674075420130928,09/28/2013,674,754,140,NEUTRAL
0690029520130928,09/28/2013,690,295,43,TEAM
0697003120130928,09/28/2013,697,31,6,TEAM
0704015620130928,09/28/2013,704,156,23,TEAM
0709004720130928,09/28/2013,709,47,48,TEAM
0716019320130928,09/28/2013,716,193,80,TEAM
0718049820130928,09/28/2013,718,498,57,TEAM
0721046620130928,09/28/2013,721,466,90,TEAM
0725036620130928,09/28/2013,725,366,121,NEUTRAL
0726077220130928,09/28/2013,726,772,148,TEAM
0746054520130928,09/28/2013,746,545,110,TEAM
0749014720130928,09/28/2013,749,147,112,TEAM
0796051820130928,09/28/2013,796,518,99,TEAM
0811067020130928,09/28/2013,811,670,131,TEAM
0110073220131003,10/03/2013,110,732,135,TEAM
0703031120131003,10/03/2013,703,311,40,TEAM
0772049820131003,10/03/2013,772,498,57,TEAM
0077073120131004,10/04/2013,77,731,133,TEAM
0466062620131004,10/04/2013,466,626,16,TEAM
0028051320131005,10/05/2013,28,513,155,NEUTRAL
0031023520131005,10/05/2013,31,235,27,TEAM
0047074620131005,10/05/2013,47,746,137,TEAM
0096029520131005,10/05/2013,96,295,43,TEAM
0128040420131005,10/05/2013,128,404,115,TEAM
0129041420131005,10/05/2013,129,414,101,TEAM
0140065120131005,10/05/2013,140,651,35,TEAM
0147068820131005,10/05/2013,147,688,92,TEAM
0196041920131005,10/05/2013,196,419,116,TEAM
0204008620131005,10/05/2013,204,86,91,TEAM
0229000920131005,10/05/2013,229,9,2,TEAM
0231066420131005,10/05/2013,231,664,75,TEAM
0254000820131005,10/05/2013,254,8,5,TEAM
0255041520131005,10/05/2013,255,415,30,TEAM
0257069420131005,10/05/2013,257,694,114,TEAM
0301046320131005,10/05/2013,301,463,84,TEAM
0327052120131005,10/05/2013,327,521,104,TEAM
0334064820131005,10/05/2013,334,648,113,TEAM
0365043020131005,10/05/2013,365,430,77,TEAM
0366070420131005,10/05/2013,366,704,124,TEAM
0367069020131005,10/05/2013,367,690,109,TEAM
0392023420131005,10/05/2013,392,234,33,TEAM
0400007120131005,10/05/2013,400,71,96,TEAM
0416031220131005,10/05/2013,416,312,41,TEAM
0428041820131005,10/05/2013,428,418,66,TEAM
0433003720131005,10/05/2013,433,37,1,TEAM
0434073620131005,10/05/2013,434,736,117,TEAM
0457074220131005,10/05/2013,457,742,136,TEAM
0472047320131005,10/05/2013,472,473,87,TEAM
0490074920131005,10/05/2013,490,749,83,TEAM
0497071820131005,10/05/2013,497,718,58,TEAM
0503033120131005,10/05/2013,503,331,100,TEAM
0518050920131005,10/05/2013,518,509,46,TEAM
0519000520131005,10/05/2013,519,5,154,TEAM
0529015720131005,10/05/2013,529,157,20,TEAM
0539030620131005,10/05/2013,539,306,47,TEAM
0574071920131005,10/05/2013,574,719,105,TEAM
0587066320131005,10/05/2013,587,663,122,TEAM
0630027720131005,10/05/2013,630,277,39,TEAM
0646071620131005,10/05/2013,646,716,4,TEAM
0670067120131005,10/05/2013,670,671,56,TEAM
0698052220131005,10/05/2013,698,522,103,TEAM
0700032820131005,10/05/2013,700,328,51,TEAM
0706038820131005,10/05/2013,706,388,142,TEAM
0721072620131005,10/05/2013,721,726,62,TEAM
0725006720131005,10/05/2013,725,67,61,TEAM
0754010720131005,10/05/2013,754,107,12,TEAM
0756067420131005,10/05/2013,756,674,19,TEAM
0768005120131005,10/05/2013,768,51,132,TEAM
0774070920131005,10/05/2013,774,709,102,TEAM
0029065720131010,10/10/2013,29,657,14,TEAM
0587036720131010,10/10/2013,587,367,54,TEAM
0626072120131010,10/10/2013,626,721,21,TEAM
0690014020131011,10/11/2013,690,140,97,TEAM
0005050320131012,10/12/2013,5,503,45,TEAM
0008033420131012,10/12/2013,8,334,53,TEAM
0009023120131012,10/12/2013,9,231,31,TEAM
0051032720131012,10/12/2013,51,327,52,TEAM
0066073120131012,10/12/2013,66,731,133,TEAM
0067014720131012,10/12/2013,67,147,112,TEAM
0071043020131012,10/12/2013,71,430,77,TEAM
0086077420131012,10/12/2013,86,774,69,TEAM
0107011020131012,10/12/2013,107,110,15,TEAM
0129051920131012,10/12/2013,129,519,95,TEAM
0157002820131012,10/12/2013,157,28,10,TEAM
0196071820131012,10/12/2013,196,718,58,TEAM
0204072520131012,10/12/2013,204,725,93,TEAM
0235036520131012,10/12/2013,235,365,55,TEAM
0255007720131012,10/12/2013,255,77,134,TEAM
0277046520131012,10/12/2013,277,465,89,TEAM
0295003020131012,10/12/2013,295,30,7,TEAM
0306041620131012,10/12/2013,306,416,68,TEAM
0311070020131012,10/12/2013,311,700,129,TEAM
0328069820131012,10/12/2013,328,698,125,TEAM
0331004720131012,10/12/2013,331,47,48,TEAM
0388022920131012,10/12/2013,388,229,159,TEAM
0404028820131012,10/12/2013,404,288,165,NEUTRAL
0414040020131012,10/12/2013,414,400,163,TEAM
0418053920131012,10/12/2013,418,539,111,TEAM
0419049720131012,10/12/2013,419,497,160,TEAM
0434025720131012,10/12/2013,434,257,36,TEAM
0463055920131012,10/12/2013,463,559,50,TEAM
0473081120131012,10/12/2013,473,811,144,TEAM
0498067020131012,10/12/2013,498,670,131,TEAM
0509079620131012,10/12/2013,509,796,141,TEAM
0522070320131012,10/12/2013,522,703,121,NEUTRAL
0528075420131012,10/12/2013,528,754,138,TEAM
0529075620131012,10/12/2013,529,756,140,TEAM
0545074220131012,10/12/2013,545,742,136,TEAM
0574070620131012,10/12/2013,574,706,130,TEAM
0630015620131012,10/12/2013,630,156,23,TEAM
0648003120131012,10/12/2013,648,31,6,TEAM
0651016420131012,10/12/2013,651,164,25,TEAM
0674073220131012,10/12/2013,674,732,135,TEAM
0688049020131012,10/12/2013,688,490,82,TEAM
0697043320131012,10/12/2013,697,433,76,TEAM
0716025420131012,10/12/2013,716,254,38,TEAM
0719070420131012,10/12/2013,719,704,124,TEAM
0726019320131012,10/12/2013,726,193,80,TEAM
0746039220131012,10/12/2013,746,392,64,TEAM
0769003720131012,10/12/2013,769,37,1,TEAM
0671077220131015,10/15/2013,671,772,148,TEAM
0415045720131017,10/17/2013,415,457,78,TEAM
0128036720131018,10/18/2013,128,367,54,TEAM
0005041420131019,10/19/2013,5,414,101,TEAM
0031000820131019,10/19/2013,31,8,5,TEAM
0037069720131019,10/19/2013,37,697,120,TEAM
0047077420131019,10/19/2013,47,774,69,TEAM
0048015720131019,10/19/2013,48,157,20,TEAM
0077028820131019,10/19/2013,77,288,128,TEAM
0110067420131019,10/19/2013,110,674,19,TEAM
0156081120131019,10/19/2013,156,811,144,TEAM
0164014020131019,10/19/2013,164,140,97,TEAM
0193074620131019,10/19/2013,193,746,137,TEAM
0234014720131019,10/19/2013,234,147,112,TEAM
0235043420131019,10/19/2013,235,434,73,TEAM
0254067020131019,10/19/2013,254,670,131,TEAM
0257073620131019,10/19/2013,257,736,117,TEAM
0306041820131019,10/19/2013,306,418,66,TEAM
0311005120131019,10/19/2013,311,51,132,TEAM
0312051820131019,10/19/2013,312,518,99,TEAM
0331064620131019,10/19/2013,331,646,3,TEAM
0365043320131019,10/19/2013,365,433,76,TEAM
0392074920131019,10/19/2013,392,749,83,TEAM
0400008620131019,10/19/2013,400,86,91,TEAM
0428050920131019,10/19/2013,428,509,46,TEAM
0465009620131019,10/19/2013,465,96,13,TEAM
0466006620131019,10/19/2013,466,66,42,TEAM
0497036620131019,10/19/2013,497,366,59,TEAM
0503012920131019,10/19/2013,503,129,70,TEAM
0519020420131019,10/19/2013,519,204,71,TEAM
0522032820131019,10/19/2013,522,328,51,TEAM
0523054520131019,10/19/2013,523,545,110,TEAM
0528010720131019,10/19/2013,528,107,12,TEAM
0559041620131019,10/19/2013,559,416,68,TEAM
0574047220131019,10/19/2013,574,472,88,TEAM
0648069420131019,10/19/2013,648,694,114,TEAM
0657051320131019,10/19/2013,657,513,49,TEAM
0663040420131019,10/19/2013,663,404,115,TEAM
0664019620131019,10/19/2013,664,196,81,TEAM
0688025520131019,10/19/2013,688,255,37,TEAM
0698052120131019,10/19/2013,698,521,104,TEAM
0700076820131019,10/19/2013,700,768,143,TEAM
0725069020131019,10/19/2013,725,690,109,TEAM
0726070920131019,10/19/2013,726,709,102,TEAM
0731047320131019,10/19/2013,731,473,87,TEAM
0732002920131019,10/19/2013,732,29,11,TEAM
0754052920131019,10/19/2013,754,529,108,TEAM
0756002820131019,10/19/2013,756,28,10,TEAM
0796030120131019,10/19/2013,796,301,44,TEAM
0671003020131022,10/22/2013,671,30,7,TEAM
0334043020131024,10/24/2013,334,430,77,TEAM
0388041920131024,10/24/2013,388,419,116,TEAM
0066007720131025,10/25/2013,66,77,134,TEAM
0002047220131026,10/26/2013,2,472,88,TEAM
0009070620131026,10/26/2013,9,706,130,TEAM
0029015720131026,10/26/2013,29,157,20,TEAM
0047000520131026,10/26/2013,47,5,154,TEAM
0051032820131026,10/26/2013,51,328,51,TEAM
0067045720131026,10/26/2013,67,457,78,TEAM
0086033120131026,10/26/2013,86,331,100,TEAM
0096062620131026,10/26/2013,96,626,16,TEAM
0107075620131026,10/26/2013,107,756,140,TEAM
0110052920131026,10/26/2013,110,529,108,TEAM
0147039220131026,10/26/2013,147,392,64,TEAM
0156027720131026,10/26/2013,156,277,39,TEAM
0164012820131026,10/26/2013,164,128,146,TEAM
0193074220131026,10/26/2013,193,742,136,TEAM
0204050320131026,10/26/2013,204,503,45,TEAM
0229003720131026,10/26/2013,229,37,1,TEAM
0244036520131026,10/26/2013,244,365,55,TEAM
0254049820131026,10/26/2013,254,498,57,TEAM
0255074620131026,10/26/2013,255,746,137,TEAM
0288058720131026,10/26/2013,288,587,86,TEAM
0295043320131026,10/26/2013,295,433,76,TEAM
0366023120131026,10/26/2013,366,231,31,TEAM
0367065120131026,10/26/2013,367,651,35,TEAM
0414051920131026,10/26/2013,414,519,95,TEAM
0416030120131026,10/26/2013,416,301,44,TEAM
0463042820131026,10/26/2013,463,428,153,TEAM
0465046620131026,10/26/2013,465,466,90,TEAM
0490023420131026,10/26/2013,490,234,33,TEAM
0497066420131026,10/26/2013,497,664,75,TEAM
0509031220131026,10/26/2013,509,312,41,TEAM
0513072120131026,10/26/2013,513,721,21,TEAM
0521031120131026,10/26/2013,521,311,40,TEAM
0539051820131026,10/26/2013,539,518,99,TEAM
0545072620131026,10/26/2013,545,726,62,TEAM
0646067020131026,10/26/2013,646,670,131,TEAM
0648043420131026,10/26/2013,648,434,73,TEAM
0674052820131026,10/26/2013,674,528,107,TEAM
0690066320131026,10/26/2013,690,663,122,TEAM
0694000820131026,10/26/2013,694,8,5,TEAM
0700052220131026,10/26/2013,700,522,103,TEAM
0703069820131026,10/26/2013,703,698,125,TEAM
0704057420131026,10/26/2013,704,574,127,TEAM
0709007120131026,10/26/2013,709,71,96,TEAM
0716077220131026,10/26/2013,716,772,148,TEAM
0719071820131026,10/26/2013,719,718,58,TEAM
0732065720131026,10/26/2013,732,657,14,TEAM
0736069720131026,10/26/2013,736,697,120,TEAM
0749041520131026,10/26/2013,749,415,30,TEAM
0768032720131026,10/26/2013,768,327,52,TEAM
0774040020131026,10/26/2013,774,400,163,TEAM
0811063020131026,10/26/2013,811,630,18,TEAM
0140040420131030,10/30/2013,140,404,115,TEAM
0028075420131031,10/31/2013,28,754,138,TEAM
0498071620131031,10/31/2013,498,716,4,TEAM
0574049720131031,10/31/2013,574,497,160,TEAM
0651028820131031,10/31/2013,651,288,128,TEAM
0657052820131101,11/01/2013,657,528,107,TEAM
0007033420131102,11/02/2013,7,334,53,TEAM
0029010720131102,11/02/2013,29,107,12,TEAM
0030064620131102,11/02/2013,30,646,3,TEAM
0037003120131102,11/02/2013,37,31,6,TEAM
0066015620131102,11/02/2013,66,156,23,TEAM
0147074620131102,11/02/2013,147,746,137,TEAM
0157011020131102,11/02/2013,157,110,15,TEAM
0196023120131102,11/02/2013,196,231,31,TEAM
0204070920131102,11/02/2013,204,709,102,TEAM
0257023520131102,11/02/2013,257,235,28,NEUTRAL
0277073120131102,11/02/2013,277,731,133,TEAM
0301053920131102,11/02/2013,301,539,111,TEAM
0311032720131102,11/02/2013,311,327,52,TEAM
0328070320131102,11/02/2013,328,703,119,TEAM
0331000520131102,11/02/2013,331,5,154,TEAM
0415023420131102,11/02/2013,415,234,33,TEAM
0418041620131102,11/02/2013,418,416,68,TEAM
0419000920131102,11/02/2013,419,9,2,TEAM
0428030620131102,11/02/2013,428,306,47,TEAM
0430064820131102,11/02/2013,430,648,113,TEAM
0457049020131102,11/02/2013,457,490,82,TEAM
0466009620131102,11/02/2013,466,96,13,TEAM
0472067120131102,11/02/2013,472,671,56,TEAM
