"Game Code","Attendance","Duration"
0796002820130914,66155,210
0817041620130914,71626,198
0147049020130919,57583,206
0066009620130920,41031,220
0028067420130921,50424,210
0030040420130921,36279,169
0031058720130921,51969,203
0037036520130921,92638,223
0043051920130921,19547,186
0047020420130921,5402,195
0061023420130921,74841,205
0140041420130921,21269,174
0156000820130921,101821,180
0201050320130921,23595,217
0228051820130921,103595,179
0231036720130921,51586,172
0277046620130921,23240,176
0288057420130921,34831,220
0294075620130921,67093,176
0295075420130921,31521,185
0315025420130921,15425,214
0327070320130921,95248,212
0331053920130921,92371,194
0366032820130921,39823,207
0380050920130921,32726,188
0388074220130921,64060,237
0416051320130921,80795,209
0418016420130921,42704,196
0419022920130921,13911,208
0434030620130921,49149,215
0446077220130921,20973,184
0454007120130921,16094,186
0457025520130921,49445,197
0472011020130921,58263,189
0497025720130921,92746,212
0498005120130921,42967,212
0508000920130921,8723,179
0528062620130921,32133,212
0545019320130921,22714,217
0559079620130921,80772,190
0630042820130921,45647,207
0632041520130921,42571,182
0649046320130921,90614,191
0663069720130921,86542,217
0670070020130921,60997,205
0671000520130921,18809,203
0694023520130921,90074,204
0706070420130921,30004,190
0709012920130921,15136,175
0716043020130921,55096,186
0718068820130921,36128,209
0731065720130921,63482,199
0732007720130921,63470,206
0736040020130921,16419,192
0741074620130921,40165,201
0749072520130921,33610,199
0768039220130921,55677,190
0771046520130921,13017,179
0774031220130921,66886,182
0811072120130921,35389,210
0311071920130926,20137,203
0742025520130926,50214,190
0419007720130927,58763,193
0731063020130927,10533,229
0005007120130928,13262,191
0009073620130928,32467,207
0029075620130928,65815,197
0030043420130928,62468,201
0096027720130928,28755,228
0107052920130928,56987,205
0129049020130928,56728,190
0157052820130928,44279,208
0164008620130928,20952,188
0196045720130928,60000,225
0229057420130928,14380,221
0234006720130928,40129,200
0235033420130928,62076,168
0288070620130928,32487,223
0312042820130928,51382,176
0331077420130928,15503,192
0365025720130928,92746,225
0414030120130928,46890,184
0415065120130928,47562,210
0433000820130928,101821,194
0465047320130928,23639,193
0503055920130928,54258,212
0521076820130928,57280,245
0522051320130928,80795,202
0626047220130928,16113,183
0646069420130928,87266,203
0648012820130928,47605,223
0657002820130928,64987,204
0663069820130928,45111,202
0664006620130928,35356,193
0674075420130928,40095,208
0690029520130928,15323,206
0697003120130928,72613,195
0704015620130928,19517,222
0709004720130928,18329,192
0716019320130928,30126,201
0718049820130928,20476,191
0721046620130928,24545,221
0725036620130928,31278,278
0726077220130928,19813,171
0746054520130928,48425,197
0749014720130928,80607,185
0796051820130928,105826,200
0811067020130928,22150,379
0110073220131003,45272,212
0703031120131003,52762,212
0772049820131003,16317,201
0077073120131004,25513,206
0466062620131004,22475,232
0028051320131005,66960,223
0031023520131005,90043,212
0047074620131005,38228,231
0096029520131005,14747,195
0128040420131005,30274,197
0129041420131005,22750,223
0140065120131005,31077,180
0147068820131005,48961,210
0196041920131005,20109,201
0204008620131005,23602,197
0229000920131005,11319,185
0231066420131005,21891,208
0254000820131005,101254,173
0255041520131005,47008,193
0257069420131005,102455,233
0301046320131005,90458,204
0327052120131005,58841,205
0334064820131005,82313,186
0365043020131005,57113,214
0366070420131005,24926,222
0367069020131005,21709,183
0392023420131005,74909,196
0400007120131005,13799,179
0416031220131005,69025,206
0428041820131005,111079,176
0433003720131005,86504,212
0434073620131005,36892,207
0457074220131005,65632,189
0472047320131005,29749,192
0490074920131005,30642,207
0497071820131005,20734,203
0503033120131005,18773,208
0518050920131005,47330,204
0519000520131005,19775,193
0529015720131005,45944,195
0539030620131005,42125,216
0574071920131005,20014,230
0587066320131005,19436,274
0630027720131005,27146,207
0646071620131005,23024,219
0670067120131005,23108,189
0698052220131005,84992,194
0700032820131005,25648,224
0706038820131005,28837,196
0721072620131005,38225,181
0725006720131005,33128,181
0754010720131005,44682,232
0756067420131005,50424,198
0768005120131005,45467,230
0774070920131005,17621,188
0029065720131010,64215,203
0587036720131010,55168,202
0626072120131010,17280,193
0690014020131011,32220,199
0005050320131012,23595,215
0008033420131012,69873,206
0009023120131012,15696,200
0051032720131012,52803,203
0066073120131012,25513,206
0067014720131012,77506,198
0071043020131012,55148,190
0086077420131012,14722,188
0107011020131012,84272,186
0129051920131012,23826,209
0157002820131012,50104,180
0196071820131012,15157,234
0204072520131012,36006,186
0235036520131012,92980,187
0255007720131012,60320,200
0277046520131012,22755,230
0295003020131012,26781,211
0306041620131012,73815,207
0311070020131012,57367,225
0328069820131012,41894,199
0331004720131012,16861,189
0388022920131012,19760,199
0404028820131012,20103,199
0414040020131012,21707,194
0418053920131012,107884,251
0419049720131012,21171,165
0434025720131012,92746,210
0463055920131012,47203,204
0473081120131012,22853,186
0498067020131012,15210,226
0509079620131012,81411,184
0522070320131012,92500,209
0528075420131012,31955,208
0529075620131012,71833,201
0545074220131012,64954,186
0574070620131012,25272,184
0630015620131012,26022,222
0648003120131012,66302,187
0651016420131012,37861,208
0674073220131012,45372,188
0688049020131012,56639,200
0697043320131012,60950,232
0716025420131012,17732,220
0719070420131012,22158,188
0726019320131012,23749,169
0746039220131012,41077,216
0769003720131012,84171,159
0671077220131015,16359,171
0415045720131017,56000,217
0128036720131018,55215,199
0005041420131019,15164,182
0031000820131019,101821,186
0037069720131019,87165,226
0047077420131019,10274,183
0048015720131019,36730,170
0077028820131019,33115,247
0110067420131019,51424,185
0156081120131019,24953,183
0164014020131019,28847,191
0193074620131019,39071,218
0234014720131019,83428,213
0235043420131019,67124,213
0254067020131019,15684,181
0257073620131019,40350,219
0306041820131019,109503,216
0311005120131019,46825,192
0312051820131019,105264,191
0331064620131019,14351,185
0365043320131019,61160,215
0392074920131019,27807,196
0400008620131019,18707,203
0428050920131019,36587,187
0465009620131019,37604,183
0466006620131019,35843,191
0497036620131019,20317,191
0503012920131019,18796,180
0519020420131019,3257,193
0522032820131019,41113,192
0523054520131019,38462,215
0528010720131019,44671,200
0559041620131019,71514,177
0574047220131019,16164,189
0648069420131019,95736,219
0657051320131019,80795,198
0663040420131019,16241,199
0664019620131019,45005,200
0688025520131019,45704,185
0698052120131019,59638,209
0700076820131019,54084,214
0725069020131019,25533,185
0726070920131019,18221,224
0731047320131019,19739,177
0732002920131019,50871,193
0754052920131019,56949,218
0756002820131019,60057,199
0796030120131019,47362,191
0671003020131022,24578,193
0334043020131024,55102,204
0388041920131024,19898,230
0066007720131025,62954,205
0002047220131026,15628,202
0009070620131026,25391,198
0029015720131026,38679,195
0047000520131026,16119,206
0051032820131026,32264,211
0067045720131026,43000,179
0086033120131026,14197,193
0096062620131026,32707,241
0107075620131026,66328,203
0110052920131026,59206,179
0147039220131026,48134,220
0156027720131026,29752,209
0164012820131026,37924,197
0193074220131026,63326,202
0204050320131026,20185,195
0229003720131026,85517,187
0244036520131026,92554,179
0254049820131026,11357,189
0255074620131026,41930,206
0288058720131026,52200,189
0295043320131026,57870,186
0366023120131026,13389,174
0367065120131026,35782,180
0414051920131026,21638,194
0416030120131026,45895,179
0463042820131026,49995,208
0465046620131026,32521,211
0490023420131026,80389,198
0497066420131026,23203,197
0509031220131026,66838,170
0513072120131026,44672,195
0521031120131026,56800,219
0539051820131026,105889,199
0545072620131026,37094,195
0646067020131026,18140,207
0648043420131026,67124,234
0674052820131026,44519,190
0690066320131026,15786,223
0694000820131026,101821,189
0700052220131026,84734,209
0703069820131026,48212,173
0704057420131026,15355,175
0709007120131026,21724,193
0716077220131026,20110,208
0719071820131026,22414,195
0732065720131026,64715,183
0736069720131026,86584,212
0749041520131026,66160,204
0768032720131026,52898,183
0774040020131026,20571,192
0811063020131026,16123,196
0140040420131030,22571,206
0028075420131031,20617,199
0498071620131031,17013,216
0574049720131031,22835,184
0651028820131031,22707,200
0657052820131101,45379,194
0007033420131102,53797,205
0029010720131102,41874,208
0030064620131102,18228,189
0037003120131102,66835,190
0066015620131102,21133,212
0147074620131102,46959,206
0157011020131102,80377,196
0196023120131102,16961,186
0204070920131102,17492,182
0257023520131102,84693,216
0277073120131102,21428,195
0301053920131102,95131,205
0311032720131102,52542,197
0328070320131102,97105,188
0331000520131102,20239,189
0415023420131102,84409,190
0418041620131102,76306,197
0419000920131102,20483,200
0428030620131102,44625,210
0430064820131102,82111,204
0457049020131102,57583,210
0466009620131102,41031,216
0472067120131102,30028,184
0473062620131102,35890,170
0503040020131102,10061,193
0509046320131102,91140,219
0518055920131102,51423,189
0521070020131102,61836,225
0545025520131102,52312,172
0630046520131102,15837,189
0664038820131102,20398,212
0670029520131102,15088,173
0690058720131102,46447,192
0694043420131102,65869,207
0704069720131102,87126,186
0706071920131102,21815,183
0718022920131102,16406,180
0725072120131102,36512,200
0726051320131102,80795,187
0742006720131102,30129,204
0749068820131102,38550,213
0768069820131102,41632,217
0772025420131102,15212,187
0796031220131102,69812,201
0071041420131105,10598,182
0519008620131105,22918,205
0129004720131106,9494,188
0522005120131107,50537,218
0529067420131107,51424,185
0716067120131107,22562,217
0367016420131108,27104,197
0721047320131108,21833,193
0009038820131109,22321,189
0027025720131109,92746,200
0028073220131109,45183,193
0030049820131109,13427,184
0031043320131109,60856,197
0037069420131109,102455,182
0067047220131109,14997,193
0077079620131109,80191,190
0096081120131109,15700,200
0110002920131109,51531,193
0157075620131109,66599,168
0231041920131109,16717,183
0234074920131109,30865,201
0277072620131109,33327,202
0288012820131109,44665,200
0301030620131109,44882,213
0312055920131109,41038,178
0327070020131109,54609,196
0328052120131109,58476,197
0365000820131109,101821,198
0430069720131109,88504,233
0434033420131109,55280,211
0463041820131109,112204,184
0466015620131109,15234,170
0490019320131109,32010,199
0513054520131109,65500,212
0523029520131109,14489,209
0539042820131109,48123,186
0626063020131109,17932,219
0657010720131109,49199,206
0663014020131109,28069,206
0664036620131109,18571,216
0688039220131109,37213,190
0695040420131109,24487,198
0698031120131109,54922,205
0703076820131109,58570,247
0704049720131109,26119,183
0718070620131109,24606,198
0719019620131109,44076,214
0731046520131109,15062,216
0736023520131109,88004,204
0742041520131109,49267,210
0746045720131109,50000,205
0772072520131109,36276,182
0774020420131109,2177,213
0086070920131112,15036,226
0519007120131112,8527,172
0047050320131113,18290,207
0414033120131113,8573,176
0255014720131114,75324,208
0388071920131114,16723,212
0756011020131115,68106,208
0005040020131116,10599,177
0008043020131116,57211,186
0009019620131116,42603,158
0107015720131116,38252,204
0128069020131116,20174,225
0129077420131116,22071,194
0140058720131116,40870,208
0156047320131116,19376,182
0164066320131116,14639,195
0229066420131116,20802,182
0231070420131116,29882,175
0235064820131116,83853,204
0257003720131116,87451,237
0288036720131116,53027,201
0294007720131116,58645,200
0306079620131116,77849,174
0311052220131116,84776,200
0334073620131116,33488,194
0366057420131116,19707,191
0392074220131116,64686,212
0404065120131116,30831,190
0415019320131116,30044,215
0416046320131116,90872,216
0418050920131116,47330,219
0457054520131116,50049,207
0490006720131116,31262,193
0518030120131116,44095,230
0521070320131116,99739,188
0528002820131116,62386,201
0559053920131116,96491,176
0626027720131116,28530,212
0630046620131116,20737,194
0646072620131116,33086,191
0670003020131116,23143,199
0671025420131116,14415,192
0674065720131116,93607,191
0688023420131116,74491,191
0698032720131116,52697,205
0700005120131116,69188,235
0716043320131116,52931,202
0732052920131116,56481,195
0754002920131116,42080,183
0768032820131116,30809,207
0811006620131116,33992,197
0086041420131119,9895,192
0331051920131119,17181,206
0503070920131120,21974,194
0465072120131121,29898,198
0574000920131121,5831,225
0587012820131121,41244,194
0726063020131122,16876,228
0006025520131123,45194,184
0028011020131123,70131,193
0051052120131123,60218,208
0066062620131123,33161,207
0067039220131123,32147,191
0071020420131123,1751,193
0077051320131123,80795,191
0107067420131123,50424,201
0140028820131123,20197,213
0141014720131123,81554,180
0149064820131123,81411,190
0156073120131123,20284,201
0164069020131123,20045,184
0193074920131123,28463,188
0196049020131123,49106,200
0253023520131123,82459,186
0254003020131123,18512,204
0277081120131123,12227,246
0295023420131123,65061,220
0301055920131123,37459,184
0306051820131123,104990,187
0328031120131123,54081,186
0334025720131123,92746,201
0388023120131123,15891,210
0400012920131123,8763,171
0404036720131123,46421,189
0416050920131123,40013,179
0418031220131123,65708,195
0419066420131123,22134,195
0430003120131123,45198,198
0434043320131123,61168,194
0463053920131123,98517,208
0472022920131123,12253,182
0473009620131123,41031,199
0498064620131123,13891,186
0522032720131123,52773,200
0523045720131123,41500,201
0529002920131123,45777,184
0545068820131123,35317,208
0657015720131123,36005,199
0663065120131123,28397,180
0693000820131123,100179,159
0697036520131123,92949,228
0704071820131123,19771,165
0706049720131123,19335,190
0719036620131123,16037,196
0732075420131123,23112,221
0736069420131123,97223,208
0746041520131123,44732,215
0756052820131123,43779,212
0772067020131123,17051,199
0796042820131123,53090,188
0774050320131126,17679,201
0433043020131128,55113,224
0700070320131128,100668,236
0031036520131129,89656,213
0071008620131129,26226,204
0096063020131129,23574,248
0196038820131129,25117,204
0204012920131129,5214,173
0231022920131129,10428,200
0312046320131129,91260,204
0400051920131129,13162,191
0414004720131129,6784,184
0415054520131129,40003,198
0528052920131129,58330,223
0651012820131129,45952,199
0663028820131129,23210,194
0670071620131129,13073,199
0709000520131129,12506,200
0754075620131129,71753,199
0008003720131130,87451,224
0029002820131130,72542,200
0030077220131130,14417,198
0051069820131130,43568,228
0067068820131130,37406,215
0077046620131130,21540,194
0110065720131130,86037,187
0147064820131130,84174,205
0157073220131130,45023,197
0193045720131130,62000,191
0234023520131130,90454,187
0257025520131130,54914,222
0295047220131130,14661,186
0311076820131130,33735,248
0327032820131130,43610,196
0366070620131130,26549,175
0392049020131130,43023,197
0428041620131130,71418,177
0473006620131130,31645,200
0497071920131130,17792,198
0498067120131130,25309,192
0509030120131130,37058,206
0513067420131130,50537,195
0518041820131130,113511,212
0539079620131130,78064,205
0559030620131130,44882,205
0587016420131130,22163,192
0626046520131130,15884,205
0646025420131130,13697,190
0664000920131130,6383,200
0690040420131130,25671,196
0694033420131130,54986,193
0697043420131130,67124,193
0704041920131130,11560,182
0718057420131130,20048,210
0721015620131130,15546,181
0725027720131130,32690,203
0742074620131130,52069,204
0749073620131130,33019,197
0811073120131130,21325,167
0367014020131205,35097,213
0071050320131206,21106,217
0128066320131207,12589,185
0193023420131207,67694,198
0388057420131207,20247,200
0404016420131207,17086,188
0434003720131207,75632,234
0518041620131207,66002,218
0522052120131207,58520,207
0651058720131207,37645,191
0671064620131207,16124,200
0674002820131207,69535,192
0703005120131207,51728,208
0731009620131207,31362,211
0725072620131214,65612,206
0086062620131221,21951,208
0096065720131221,42178,215
0718067120131221,54728,220
0754015620131221,27104,246
0519019620131223,20053,229
0066052820131224,29106,204
0545007120131226,26259,203
0731050320131226,23408,178
0077075620131227,34136,202
0388039220131227,30163,214
0688042820131227,32327,214
0140045720131228,45211,190
0415036720131228,51098,193
0418032720131228,53284,183
0587051320131228,47122,208
0028070020131230,52930,223
0419072620131230,39246,190
0433025520131230,52125,195
0529070320131230,65918,186
0029006720131231,36917,186
0193069720131231,67946,219
0574043020131231,57846,185
0742011020131231,47912,224
0128005120140101,65172,232
0312036520140101,51296,207
0463025720140101,60712,203
0465049720140101,38380,207
0674041620140101,95173,199
0796064820140101,56629,187
0522000820140102,70473,232
0147051820140103,72080,225
0521043420140103,72690,259
0736028820140104,42717,231
0030004720140105,36119,199
0037023420140106,94208,211
