6.30073E+14,,630,726
2nd and 6 at SJSU 8,"Keenan Reynolds run for 8 yds for a TD, (Austin Grebe KICK)",10,14
"NAVY DRIVE TOTALS: 6 plays, 75 yards, 2:44",,,
San Jos\xe9 State at 7:51,,SJSU,NAVY
,"Austin Grebe kickoff for 56 yds , Tyler Ervin return for 16 yds to the SJSt 25",10,14
1st and 10 at SJSU 25,Tyler Ervin run for a loss of 2 yards to the SJSt 23,,
2nd and 12 at SJSU 23,Joe Gray pass incomplete to Hansell Wilson,,
3rd and 12 at SJSU 23,Joe Gray pass complete to Tyler Ervin for 7 yds to the SJSt 30,,
4th and 5 at SJSU 30,"Michael Carrizosa punt for 50 yds , DeBrandon Sanders returns for 19 yds to the Navy 39",,
"SJSU DRIVE TOTALS: 3 plays, 5 yards, 1:27",,,
Navy at 6:24,,SJSU,NAVY
1st and 10 at NAVY 39,"Noah Copeland run for 6 yds to the SJSt 45 for a 1ST down SAN JOS\xc9 ST Penalty, face mask (15 yards) (Travis Raciti) to the SJSt 40 for a 1ST down",10,14
1st and 10 at SJSU 40,Noah Copeland run for 36 yds to the SJSt 4 for a 1ST down,,
1st and Goal at SJSU 4,Keenan Reynolds run for 1 yd to the SJSt 3,,
2nd and Goal at SJSU 3,"Keenan Reynolds run for 3 yds for a TD, (Austin Grebe KICK)",10,21
"NAVY DRIVE TOTALS: 4 plays, 61 yards, 1:28",,,
San Jos\xe9 State at 4:56,,SJSU,NAVY
,Austin Grebe kickoff for 65 yds for a touchback,10,21
1st and 10 at SJSU 25,Tyler Ervin run for 8 yds to the SJSt 33,,
2nd and 2 at SJSU 33,Joe Gray pass complete to Billy Freeman for 16 yds to the SJSt 49 for a 1ST down,,
1st and 10 at SJSU 49,Tim Crawley run for 14 yds to the Navy 37 for a 1ST down,,
1st and 10 at NAVY 37,Joe Gray pass complete to Jabari Carr for 4 yds to the Navy 33,,
2nd and 6 at NAVY 33,Joe Gray pass incomplete to Tim Crawley,,
3rd and 6 at NAVY 33,"Joe Gray pass complete to Tim Crawley for 33 yds for a TD, (Austin Lopez KICK)",17,21
"SJSU DRIVE TOTALS: 6 plays, 75 yards, 2:13",,,
Navy at 2:43,,SJSU,NAVY
,Austin Lopez kickoff for 65 yds for a touchback,17,21
1st and 10 at NAVY 25,Dishan Romine run for 14 yds to the Navy 39 for a 1ST down,,
1st and 10 at NAVY 39,Keenan Reynolds run for 3 yds to the Navy 42,,
2nd and 7 at NAVY 42,Keenan Reynolds run for 9 yds to the SJSt 49 for a 1ST down,,
1st and 10 at SJSU 49,Calvin Cass Jr. run for 6 yds to the SJSt 43,,
2nd and 4 at SJSU 43,Chris Swain run for 2 yds to the SJSt 41,,
,"Timeout NAVY, clock 01:01",,
3rd and 2 at SJSU 41,Keenan Reynolds run for 4 yds to the SJSt 37 for a 1ST down,,
1st and 10 at SJSU 37,Keenan Reynolds pass incomplete to DeBrandon Sanders,,
2nd and 10 at SJSU 37,Keenan Reynolds pass incomplete to Brendan Dudeck,,
3rd and 10 at SJSU 37,Dishan Romine run for 7 yds to the SJSt 30,,
4th and 3 at SJSU 30,DeBrandon Sanders run for 7 yds to the SJSt 23 for a 1ST down,,
1st and 10 at SJSU 23,"Keenan Reynolds pass incomplete to Jamir Tillman, broken up by Cleveland Wallace",,
2nd and 10 at SJSU 23,Keenan Reynolds run for 12 yds to the SJSt 11 for a 1ST down,,
1st and 10 at SJSU 11,TEAM pass incomplete,,
2nd and 10 at SJSU 11,Keenan Reynolds pass complete to Brendan Dudeck for 8 yds to the SJSt 3,,
,"Timeout NAVY, clock 00:07",,
,"Timeout SAN JOS\xc9 ST, clock 00:07",,
3rd and 2 at SJSU 3,Keenan Reynolds run for 1 yd to the SJSt 2,,
,"Timeout NAVY, clock 00:03",,
4th and 1 at SJSU 2,Austin Grebe 20 yd FG GOOD,17,24
,End of 2nd Quarter,,
"NAVY DRIVE TOTALS: 16 plays, 73 yards, 2:43",,,
3rd Quarter Play-by-Play,,,
San Jos\xe9 State at 15:00,,SJSU,NAVY
,Austin Grebe kickoff for 65 yds for a touchback,17,24
1st and 10 at SJSU 25,Tyler Ervin run for no gain to the SJSt 25,,
2nd and 10 at SJSU 25,Joe Gray run for 6 yds to the SJSt 31,,
3rd and 4 at SJSU 31,Joe Gray pass complete to Billy Freeman for 4 yds to the SJSt 35 for a 1ST down,,
1st and 10 at SJSU 35,Joe Gray pass complete to Hansell Wilson for 2 yds to the SJSt 37,,
2nd and 8 at SJSU 37,Joe Gray pass complete to Tyler Ervin for 11 yds to the SJSt 48 for a 1ST down,,
1st and 10 at SJSU 48,Joe Gray pass incomplete to Shane Smith,,
2nd and 10 at SJSU 48,Tyler Ervin run for no gain to the SJSt 48,,
3rd and 10 at SJSU 48,Joe Gray pass complete to Tim Crawley for 5 yds to the Navy 47,,
4th and 5 at NAVY 47,"Michael Carrizosa punt for 45 yds, downed at the Navy 2",,
"SJSU DRIVE TOTALS: 8 plays, 28 yards, 3:51",,,
Navy at 11:09,,SJSU,NAVY
1st and 10 at NAVY 2,Keenan Reynolds run for 4 yds to the Navy 6,17,24
2nd and 6 at NAVY 6,Keenan Reynolds run for 8 yds to the Navy 14 for a 1ST down,,
1st and 10 at NAVY 14,Chris Swain run for 1 yd to the Navy 15,,
2nd and 9 at NAVY 15,Keenan Reynolds run for 8 yds to the Navy 23,,
3rd and 1 at NAVY 23,Keenan Reynolds run for 2 yds to the Navy 25 for a 1ST down,,
1st and 10 at NAVY 25,Keenan Reynolds run for 11 yds to the Navy 36 for a 1ST down,,
1st and 10 at NAVY 36,Noah Copeland run for 4 yds to the Navy 40,,
2nd and 6 at NAVY 40,Keenan Reynolds run for 5 yds to the Navy 45,,
3rd and 1 at NAVY 45,Keenan Reynolds run for 2 yds to the Navy 47 for a 1ST down,,
1st and 10 at NAVY 47,Keenan Reynolds run for 13 yds to the SJSt 40 for a 1ST down,,
,"Timeout SAN JOS\xc9 ST, clock 06:45",,
1st and 10 at SJSU 40,Keenan Reynolds run for 8 yds to the SJSt 32,,
2nd and 2 at SJSU 32,Keenan Reynolds run for 30 yds to the SJSt 2 for a 1ST down,,
1st and Goal at SJSU 2,"Keenan Reynolds run for 2 yds for a TD, (Austin Grebe KICK)",17,31
"NAVY DRIVE TOTALS: 13 plays, 98 yards, 5:20",,,
San Jos\xe9 State at 5:49,,SJSU,NAVY
,"Austin Grebe kickoff for 65 yds , Tyler Ervin return for 28 yds to the SJSt 28",17,31
1st and 10 at SJSU 28,Joe Gray pass complete to Jabari Carr for a loss of 2 yards to the SJSt 26,,
2nd and 12 at SJSU 26,Joe Gray pass incomplete to Tyler Ervin,,
3rd and 12 at SJSU 26,Joe Gray pass incomplete to Tim Crawley,,
4th and 12 at SJSU 26,"Michael Carrizosa punt for 38 yds, downed at the Navy 36",,
"SJSU DRIVE TOTALS: 3 plays, -2 yards, 1:02",,,
Navy at 4:47,,SJSU,NAVY
1st and 10 at NAVY 36,Keenan Reynolds run for 6 yds to the Navy 42,17,31
2nd and 4 at NAVY 42,Noah Copeland run for 4 yds to the Navy 46 for a 1ST down,,
1st and 10 at NAVY 46,Chris Swain run for 3 yds to the Navy 49,,
2nd and 7 at NAVY 49,Keenan Reynolds run for 6 yds to the SJSt 45,,
3rd and 1 at SJSU 45,Chris Swain run for 2 yds to the SJSt 43 for a 1ST down,,
1st and 10 at SJSU 43,DeBrandon Sanders run for 11 yds to the SJSt 32 for a 1ST down,,
1st and 10 at SJSU 32,Keenan Reynolds run for 7 yds to the SJSt 25,,
2nd and 3 at SJSU 25,Noah Copeland run for 4 yds to the SJSt 21 for a 1ST down,,
1st and 10 at SJSU 21,Keenan Reynolds run for 4 yds to the SJSt 17,,
2nd and 6 at SJSU 17,Noah Copeland run for 4 yds to the SJSt 13,,
,End of 3rd Quarter,,
4th Quarter Play-by-Play,,,
Navy at 15:00,,SJSU,NAVY
3rd and 2 at SJSU 13,Keenan Reynolds run for 5 yds to the SJSt 8 for a 1ST down,17,31
1st and Goal at SJSU 8,"DeBrandon Sanders run for 8 yds for a TD, (Austin Grebe KICK)",17,38
"NAVY DRIVE TOTALS: 12 plays, 64 yards, 5:26",,,
San Jos\xe9 State at 14:21,,SJSU,NAVY
,"Austin Grebe kickoff for 61 yds , Tyler Ervin return for 27 yds to the SJSt 31",17,38
1st and 10 at SJSU 31,Joe Gray pass complete to Hansell Wilson for 15 yds to the SJSt 46 for a 1ST down,,
1st and 10 at SJSU 46,Joe Gray run for 1 yd to the SJSt 47,,
2nd and 9 at SJSU 47,Joe Gray pass complete to Tim Crawley for 20 yds to the Navy 33 for a 1ST down,,
1st and 10 at NAVY 33,Tyler Ervin run for 9 yds to the Navy 24,,
2nd and 1 at NAVY 24,Tyler Ervin run for no gain to the Navy 24,,
3rd and 1 at NAVY 24,"SAN JOS\xc9 ST Penalty, false start (NA) to the Navy 29",,
3rd and 6 at NAVY 29,Joe Gray run for 1 yd to the Navy 28,,
4th and 5 at NAVY 28,Joe Gray pass complete to Tim Crawley for 10 yds to the Navy 18 for a 1ST down,,
1st and 10 at NAVY 18,Joe Gray pass incomplete to Andrew Vollert,,
2nd and 10 at NAVY 18,Joe Gray pass complete to Tyler Winston for 9 yds to the Navy 9,,
3rd and 1 at NAVY 9,Tyler Ervin run for 3 yds to the Navy 6 for a 1ST down,,
,"Timeout SAN JOS\xc9 ST, clock 09:04",,
1st and Goal at NAVY 6,Tyler Ervin run for 1 yd to the Navy 5,,
2nd and Goal at NAVY 5,Joe Gray pass incomplete to Tyler Winston,,
3rd and Goal at NAVY 5,"Joe Gray pass complete to Hansell Wilson for 5 yds for a TD, (Austin Lopez KICK)",24,38
"SJSU DRIVE TOTALS: 13 plays, 69 yards, 6:01",,,
Navy at 8:20,,SJSU,NAVY
,Austin Lopez on-side kick recovered by NAVY at the SJSt 45,24,38
1st and 10 at SJSU 45,Keenan Reynolds run for 6 yds to the SJSt 39,,
2nd and 4 at SJSU 39,Keenan Reynolds run for 3 yds to the SJSt 36,,
3rd and 1 at SJSU 36,Chris Swain run for 5 yds to the SJSt 31 for a 1ST down,,
1st and 10 at SJSU 31,Chris Swain run for 8 yds to the SJSt 23,,
2nd and 2 at SJSU 23,Keenan Reynolds run for 3 yds to the SJSt 20 for a 1ST down,,
1st and 10 at SJSU 20,Quinton Singleton run for 1 yd to the SJSt 19,,
2nd and 9 at SJSU 19,Keenan Reynolds run for 1 yd to the SJSt 18,,
3rd and 8 at SJSU 18,Quinton Singleton run for 3 yds to the SJSt 15,,
,"Timeout NAVY, clock 03:10",,
4th and 5 at SJSU 15,Austin Grebe 33 yd FG GOOD,24,41
"NAVY DRIVE TOTALS: 9 plays, 30 yards, 5:14",,,
San Jos\xe9 State at 3:06,,SJSU,NAVY
,"Austin Grebe kickoff for 65 yds , Tyler Ervin return for 21 yds to the SJSt 21",24,41
1st and 10 at SJSU 21,Joe Gray pass complete to Jabari Carr for 4 yds to the SJSt 25,,
2nd and 6 at SJSU 25,Joe Gray pass complete to Billy Freeman for 9 yds to the SJSt 34 for a 1ST down,,
1st and 10 at SJSU 34,Joe Gray pass complete to Tyler Ervin for 12 yds to the SJSt 46 for a 1ST down,,
1st and 10 at SJSU 46,Joe Gray pass complete to Jabari Carr for 4 yds to the 50 yard line,,
2nd and 6 at 50,Joe Gray pass complete to Andrew Vollert for 37 yds to the Navy 13 for a 1ST down,,
1st and 10 at NAVY 13,Joe Gray pass complete to Andrew Vollert for 5 yds to the Navy 8,,
2nd and 5 at NAVY 8,"Tyler Ervin run for 8 yds for a TD, (Austin Lopez KICK)",31,41
"SJSU DRIVE TOTALS: 7 plays, 79 yards, 1:42",,,
Navy at 1:24,,SJSU,NAVY
,Austin Lopez on-side kick recovered by NAVY at the SJSt 46,31,41
1st and 10 at SJSU 46,TEAM run for a loss of 1 yard to the SJSt 47,,
2nd and 11 at SJSU 47,TEAM run for a loss of 2 yards to the SJSt 49,,
3rd and 13 at SJSU 49,TEAM run for a loss of 1 yard to the 50 yard line,,
,End of 4th Quarter,,
"NAVY DRIVE TOTALS: 3 plays, -4 yards, 1:24",,,
